"","US.merge","US.id","US.screen_name","US.verified","US.url","US.created_at","US.name","US.followers_count","US.location","US.description","US.time_zone","US.listed_count","US.lang","US.friends_count","US.statuses_count","US.dw.nom.1","US.icpsr.id","US.nameid","US.title","US.party","US.state","US.gender","US.idealPoint"
"169","jefffortenberry",18805303,"JeffFortenberry",TRUE,"http://fortenberry.house.gov/","Fri Jan 09 16:14:19 +0000 2009","Jeff Fortenberry",6235,"Washington, D.C.","U.S. Representative for the First Congressional District of Nebraska","Central Time (US & Canada)",572,"en",2105,924,0.285,20518,"F000449","House","R","NE","M",0.408837221414961
"170","jerrybrowngov",19418459,"JerryBrownGov",TRUE,"http://www.jerrybrown.org","Fri Jan 23 22:42:45 +0000 2009","Jerry Brown",1063901,"California","Let's get California working again. 

On Facebook at: facebook.com/jerrybrown","Pacific Time (US & Canada)",4000,"en",60,1536,NA,NA,NA,"Others","D",NA,NA,NA
"171","jerrycostello",125134366,"JerryCostello",TRUE,"http://www.costello.house.gov","Sun Mar 21 20:24:25 +0000 2010","Rep. Jerry Costello",2848,"Illinois","Proudly serving Illinois' 12th Congressional District in the United States Congress.","Eastern Time (US & Canada)",225,"en",100,270,-0.319,15453,"C000794","House","D","IL","M",-0.443477398290488
"172","jerrymcnerney",176512266,"jerrymcnerney",FALSE,"http://jerrymcnerney.org","Mon Aug 09 18:55:49 +0000 2010","Jerry McNerney",1185,"California's 11th District","I studied math & have a PhD in Differential Geometry, used to develop wind energy technology. Elected to Congress in 2006, proud to serve CD-11 of California","Pacific Time (US & Canada)",130,"en",571,422,-0.25,20702,"M001166","House","D","CA","M",-0.948909361333805
"173","jerrymoran",18632666,"JerryMoran",TRUE,"http://www.moran.senate.gov","Mon Jan 05 14:25:22 +0000 2009","Jerry Moran",6776,"Kansas","Senator from Kansas","Central Time (US & Canada)",605,"en",927,1184,NA,41103,"M000934","Senate","R","KS","M",0.97902612258998
"174","jim_jordan",18166778,"Jim_Jordan",TRUE,NA,"Tue Dec 16 17:20:24 +0000 2008","Jim_Jordan",11885,"Washington, DC ","Proudly serving Ohio's beautiful fourth district.","Central Time (US & Canada)",808,"en",5297,709,0.67,20738,"J000289","House","R","OH","M",1.52485961068425
"175","jim_moran",47412499,"Jim_Moran",TRUE,"http://www.moran.house.gov/","Mon Jun 15 19:00:16 +0000 2009","Jim Moran",6412,"8th District of Virginia","Updates from the U.S. Congressman representing the 8th District of Virginia (Northern Virginia)","Eastern Time (US & Canada)",667,"en",142,616,-0.328,29149,"M000933","House","D","VA","M",-1.11634696832523
"176","jimdemint",9508922,"JimDeMint",TRUE,"http://twitter.com/jimdemint","Wed Oct 17 22:26:53 +0000 2007","Jim DeMint",142795,"","U.S. Senator from South Carolina","Eastern Time (US & Canada)",5195,"en",28623,1398,0.689,29936,"D000595","Senate","R","SC","M",1.82838243449299
"177","jimgerlach",40954486,"JimGerlach",TRUE,"http://www.gerlach.house.gov","Mon May 18 20:04:27 +0000 2009","Jim Gerlach",4973,"Chester Springs, PA","Proudly serving the great people of PA's 6th District. Thanks for visiting our legislative page.","Quito",539,"en",162,528,0.209,20345,"G000549","House","R","PA","M",0.356034119104227
"178","jiminhofe",7270292,"jiminhofe",TRUE,"http://www.jiminhofe.com","Thu Jul 05 14:39:13 +0000 2007","Jim Inhofe",12810,"Oklahoma City, OK","United States Senator from Oklahoma","Central Time (US & Canada)",1026,"en",28,507,0.545,15424,"I000024","Senate","R","OK","M",1.24064031576955
"179","jimlangevin",18909919,"jimlangevin",TRUE,"http://langevin.house.gov/","Mon Jan 12 18:36:58 +0000 2009","Jim Langevin",4928,"Warwick, RI and Washington, D.","RI's Second District Representative","Eastern Time (US & Canada)",355,"en",1443,603,-0.4,20136,"L000559","House","D","RI","M",-1.02130275710886
"180","jimoberstar",21690931,"JimOberstar",TRUE,"http://www.oberstar.house.gov//","Mon Feb 23 20:39:21 +0000 2009","Rep. Jim Oberstar",4601,"Washington DC","Updates from the Office of the proud representative of Minnesota's Mighty 8th District","Central Time (US & Canada)",541,"en",38,433,-0.569,14265,"O000006","House","D",NA,NA,NA
"181","joannemerson",83603750,"JoAnnEmerson",FALSE,"http://www.joannemerson.com","Mon Oct 19 13:51:30 +0000 2009","Jo Ann Emerson",2673,"Missouri","I am proud to represent Missouri’s 8th Congressional District, which includes much of Southern Missouri, in the U.S. House of Representatives.","Central Time (US & Canada)",265,"en",101,1438,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"182","joebiden",939091,"JoeBiden",TRUE,"http://www.barackobama.com","Sun Mar 11 17:51:24 +0000 2007","Joe Biden",299324,"Washington, D.C.","This account is run by #Obama2012 campaign staff. Tweets from the Vice President are signed -Joe.","Eastern Time (US & Canada)",4224,"en",15,903,NA,14101,"B000444","Senate","D",NA,NA,NA
"183","joelieberman",84129740,"JoeLieberman",TRUE,"http://lieberman.senate.gov","Wed Oct 21 18:28:29 +0000 2009","Joe Lieberman",27213,"","United States Senator (I-CT)","Eastern Time (US & Canada)",1786,"en",124,697,-0.223,15704,"L000304","Senate","I","CT","M",-0.626175217937805
"184","joesestak",46764631,"JoeSestak",TRUE,"http://JoeSestak.com","Fri Jun 12 22:27:53 +0000 2009","Joe Sestak",7381,"Pennsylvania","Father and husband, former @USNavy 3-star Admiral and Director of Anti-Terrorism, @WhiteHouse Director for Defense Policy.","Eastern Time (US & Canada)",627,"en",6317,1526,-0.296,20744,"S001169","House","D",NA,NA,NA
"185","john_dingell",109025212,"john_dingell",TRUE,"http://facebook.com/johndingell","Wed Jan 27 18:53:50 +0000 2010","John Dingell",5397,"Southeast Michigan","Congressman from Michigan's 15th District","Eastern Time (US & Canada)",491,"en",698,1442,-0.459,2605,"D000355","House","D","MI","M",-0.886155653018847
"186","johnboehner",5357812,"johnboehner",TRUE,"http://www.facebook.com/johnboehner","Fri Apr 20 21:07:41 +0000 2007","John Boehner",205575,"West Chester, Ohio","I represent Ohio's 8th Congressional District and serve as Speaker of the House; am fighting for a smaller, more accountable government.","Eastern Time (US & Canada)",5993,"en",15754,3231,NA,NA,NA,"Others","R",NA,NA,NA
"187","johnboozman",5558312,"JohnBoozman",TRUE,"http://boozman.senate.gov","Fri Apr 27 16:05:52 +0000 2007","Senator John Boozman",10623,"Arkansas","Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843","Eastern Time (US & Canada)",936,"en",258,762,0.406,20101,"B001236","Senate","R","AR","M",0.991866996845094
"188","johncarneyde",237770636,"JohnCarneyDE",TRUE,NA,"Thu Jan 13 15:58:13 +0000 2011","Rep. John Carney",3277,"Delaware and Washington, D.C.","Official Twitter page for U.S. Representative John Carney (D-DE). http://www.JohnCarney.house.gov","Eastern Time (US & Canada)",248,"en",700,878,-0.264,21113,"C001083","House","D","DE","M",-0.625783390734853
"189","johncornyn",13218102,"JohnCornyn",TRUE,"http://www.cornyn.senate.gov","Thu Feb 07 19:52:55 +0000 2008","JohnCornyn",31899,"Austin, Texas","Representing Texas in the Senate Since 2002.","Central Time (US & Canada)",2150,"en",7974,7626,0.491,40305,"C001056","Senate","R","TX","M",0.927107525833766
"190","johnculberson",14904437,"johnculberson",TRUE,"http://twitter.com/johnculberson","Mon May 26 02:46:17 +0000 2008","johnculberson",15976,"Houston TX/Washington DC","John Culberson: Proud father, happy husband. TX Congressman-Jeffersonian Republican. Let Texans Run Texas. Amateur astronomer","Central Time (US & Canada)",852,"en",11490,2816,NA,NA,NA,"House","R",NA,NA,NA
"191","johnensign",15727817,"JohnEnsign",FALSE,"http://www.JohnEnsign.org","Mon Aug 04 21:01:23 +0000 2008","John Ensign",8873,"Las Vegas, Nevada","U.S. Senator, Nevada","Pacific Time (US & Canada)",774,"en",4788,356,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"192","johnkerry",15007149,"JohnKerry",TRUE,"http://twitter.com/johnkerry","Wed Jun 04 16:51:10 +0000 2008","John Kerry",47076,"","","Quito",2242,"en",217,409,-0.386,14920,"K000148","Senate","D","MA","M",-0.941429814776051
"193","johnthune",26533227,"johnthune",FALSE,"http://www.johnthune.com","Wed Mar 25 16:40:28 +0000 2009","John Thune",27366,"ÜT: 44.84826,-97.005106","United States Senator from South Dakota","Central Time (US & Canada)",1427,"en",1357,359,NA,NA,NA,"Senate","R",NA,NA,NA
"194","jointeconcmte",116505994,"JointEconCmte",TRUE,"http://jec.senate.gov","Mon Feb 22 18:11:02 +0000 2010","JEC Majority Staff",1585,"Washington, D.C.","The JEC, established under the 1946 Employment Act, was created by Congress to review economic conditions & analyze the effectiveness of economic policy.","Central Time (US & Canada)",142,"en",61,95,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"195","jonhuntsman",294728278,"JonHuntsman",TRUE,"http://Jon2012.com","Sat May 07 17:16:04 +0000 2011","Jon Huntsman",90014,"","Proud husband and father of seven.  Businessman, former two-term Governor of Utah, former Ambassador to China and Singapore. Follow campaign at @Jon2012HQ","Eastern Time (US & Canada)",2071,"en",121,257,NA,NA,NA,"Others","R",NA,NA,NA
"196","jontester",16473577,"jontester",TRUE,"http://www.jontester.com","Fri Sep 26 19:59:20 +0000 2008","Jon Tester",4086,"Big Sandy, Montana","Senate campaign of Jon Tester - dirt farmer & Montana Senator from Big Sandy - RTs, Replies & Follows ≠ Endorsement","Mountain Time (US & Canada)",287,"en",1337,1628,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"197","judgecarter",18030431,"JudgeCarter",TRUE,"http://carter.house.gov","Wed Dec 10 21:00:58 +0000 2008","JudgeCarter",7593,"Washington, DC Round Rock, TX","I'm a U.S. Congressman in the 31st District Texas, Secretary of the House Republican Conference, and a former Texas Judge.","Central Time (US & Canada)",717,"en",2877,2441,0.513,20356,"C001051","House","R","TX","M",0.82449398333404
"198","judgetedpoe",74198348,"JudgeTedPoe",TRUE,"http://poe.house.gov","Mon Sep 14 16:40:24 +0000 2009","Ted Poe",6412,"Humble, Texas","Member of Congress, representing the second district of the great state of Texas","Eastern Time (US & Canada)",598,"en",478,1422,0.592,20528,"P000592","House","R","TX","M",0.968203065567516
"199","judybiggert",21660348,"JudyBiggert",TRUE,"http://judybiggert.house.gov/","Mon Feb 23 15:29:03 +0000 2009","Judy Biggert",6627,"Hinsdale, IL/Washington, DC","Congresswoman proudly representing Illinois's 13th district","Eastern Time (US & Canada)",646,"en",245,900,0.312,29912,"B001232","House","R","IL","F",0.401215308072899
"200","karlrove",18791763,"KarlRove",TRUE,"http://www.rove.com","Fri Jan 09 04:12:46 +0000 2009","Karl Rove",475813,"Washington, D.C.","Former Deputy Chief of Staff to President George W. Bush, Author of Courage and Consequence: My Life as a Conservative in the Fight","Eastern Time (US & Canada)",12687,"en",151063,5221,NA,NA,NA,"Others","R",NA,NA,NA
"201","kaybaileyhutch",133439172,"kaybaileyhutch",TRUE,"http://hutchison.senate.gov","Thu Apr 15 20:07:44 +0000 2010","Kay Bailey Hutchison",14183,"Texas and Washington, DC","Kay Bailey Hutchison is a U.S. Senator from Texas. She is the first - and, to date, the only - woman elected to represent the state in the Senate.","Eastern Time (US & Canada)",958,"en",2679,2394,0.358,49306,"H001016","Senate","R","TX","F",0.713347712165175
"202","keithellison",14135426,"keithellison",TRUE,"http://ellison.house.gov","Wed Mar 12 21:38:12 +0000 2008","Rep. Keith Ellison",33355,"Minneapolis/Washington, D.C.","Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives","Eastern Time (US & Canada)",1872,"en",1036,3841,-0.634,20727,"E000288","House","D","MN","M",-1.81406184298218
"203","keitholbermann",130617778,"KeithOlbermann",TRUE,"http://keitholbermann.mlblogs.com/","Wed Apr 07 20:43:27 +0000 2010","Keith Olbermann",408514,"New York","That's a clown question, Bro.","Eastern Time (US & Canada)",16064,"en",525,31676,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"204","kencalvert",22545491,"KenCalvert",TRUE,"http://calvert.house.gov/","Mon Mar 02 22:30:20 +0000 2009","Ken Calvert",2058,"Corona, CA ","Ken Calvert, United States Congress, representing California's 44th District","Quito",300,"en",57,1052,0.367,29323,"C000059","House","R","CA","M",0.705900577289343
"205","kevinomccarthy",15428227,"kevinomccarthy",TRUE,"http://www.mccarthyforcongress.com","Mon Jul 14 15:59:49 +0000 2008","Kevin McCarthy",19119,"Bakersfield, CA","Congressman and Majority Whip in the House","Pacific Time (US & Canada)",984,"en",6358,645,NA,NA,NA,"House","R",NA,NA,NA
"206","kevinyoder",26324609,"KevinYoder",FALSE,"http://www.kevinyoder.com","Tue Mar 24 21:08:20 +0000 2009","Kevin Yoder",2078,"3rd District, Kansas, US","","Central Time (US & Canada)",190,"en",643,444,0.574,21135,"Y000063","House","R","KS","M",1.06429820284747
"207","labrador4idaho",56944812,"Labrador4Idaho",FALSE,"http://labrador4idaho.com/","Wed Jul 15 06:21:27 +0000 2009","Raul Labrador",3108,"Eagle, Idaho","Official feed of the Raúl Labrador for Idaho 2012 Re-election campaign. Staff tweets the latest happenings from the trail. ","Mountain Time (US & Canada)",215,"en",1643,759,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"208","lamarsmithtx21",15856366,"LamarSmithTX21",TRUE,"http://lamarsmith.house.gov/","Thu Aug 14 21:53:40 +0000 2008","Lamar Smith",9049,"TX21","I represent the 21st District of TX in Congress & protect the Constitution as the top Republican on the Judiciary Com. Join me: www.facebook.com/LamarsmithTX21 ","Eastern Time (US & Canada)",786,"en",3608,603,0.404,15445,"S000583","House","R","TX","M",0.719645278817528
"209","larsenrick",158520264,"larsenrick",FALSE,"http://www.ricklarsen.org","Tue Jun 22 22:55:46 +0000 2010","Rick Larsen",1367,"Washington's 2nd District","I've represented Washington state's 2nd Congressional District since 2000. I was born and raised in Arlington, WA.","Pacific Time (US & Canada)",149,"en",205,1411,-0.39,20145,"L000560","House","D","WA","M",-0.77347737097393
"210","lbjlibrary",113729414,"LBJLibrary",TRUE,"http://www.lbjlibrary.org","Fri Feb 12 21:02:34 +0000 2010","LBJ Library",2196,"2313 Red River, Austin, TX","The official twitter feed for the Presidential Library and Museum of the 36th president of the United States. Following does not indicate endorsement.","Mountain Time (US & Canada)",129,"en",188,1228,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"211","leeterryne",18317325,"LEETERRYNE",TRUE,"http://leeterry.house.gov/","Mon Dec 22 21:14:05 +0000 2008","LEETERRYNE",4950,"Omaha, Nebraska","Proudly serving the 2nd District of Nebraska in the U.S. House of Representatives","Central Time (US & Canada)",495,"en",470,1768,0.433,29921,"T000459","House","R","NE","M",0.700399299424135
"212","legistalker",34335862,"Legistalker",FALSE,"http://legistalker.org","Wed Apr 22 17:30:00 +0000 2009","Legistalker",1191,"Washington, DC","Easy monitoring of U.S. lawmaker's real-time activities. Apps for America award winner by @ForumOne","Eastern Time (US & Canada)",108,"en",1714,188,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"213","leonardboswell",19891734,"LeonardBoswell",TRUE,"http://boswell.house.gov","Mon Feb 02 03:44:14 +0000 2009","Leonard Boswell",4542,"Washington, D.C. / Iowa","Your Congressman","Central Time (US & Canada)",534,"en",195,181,-0.251,29721,"B000652","House","D","IA","M",-0.572440285221023
"214","limbaugh",22047070,"limbaugh",FALSE,"http://www.RushLimbaugh.com","Thu Feb 26 19:10:19 +0000 2009","Rush Limbaugh",204328,"EIB Southern Command","The Only Genuine Rush Limbaugh Twitter Feed","Eastern Time (US & Canada)",3956,"en",0,36,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"215","lisamurkowski",18061669,"lisamurkowski",TRUE,"http://murkowski.senate.gov","Thu Dec 11 21:55:19 +0000 2008","Sen. Lisa Murkowski",13397,"Alaska & Washington, D.C.","Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska. 
","Central Time (US & Canada)",1175,"en",310,1561,0.241,40300,"M001153","Senate","R","AK","F",0.342339026750379
"216","lorettasanchez",108376246,"LorettaSanchez",TRUE,"http://www.lorettasanchez.house.gov","Mon Jan 25 19:08:10 +0000 2010","Loretta Sanchez",10748,"Orange County, CA","Follow Back in 24 hours Proud 2 represent in Congress CA-47, Orange County! Senior Member of Armed Services and Homeland Committees. ","Pacific Time (US & Canada)",552,"en",10129,1242,-0.404,29709,"S000030","House","D","CA","F",-0.981165461231851
"217","loubarletta",93965901,"loubarletta",FALSE,"http://www.loubarletta.com","Tue Dec 01 23:07:21 +0000 2009","Lou Barletta",2164,"Hazleton, PA","I represent Pennsylvania's 11th Congressional District in Congress. Keep up to date with my campaign here.","Eastern Time (US & Canada)",136,"en",1467,246,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"218","louiseslaughter",63169388,"louiseslaughter",TRUE,"http://www.louise.house.gov","Wed Aug 05 15:53:07 +0000 2009","Louise Slaughter",4985,"NY-28","","Quito",496,"en",110,466,-0.499,15444,"S000480","House","D","NY","F",-1.43019143614126
"219","luisgutierrez",36948268,"LuisGutierrez",TRUE,"http://www.gutierrez.house.gov","Fri May 01 14:03:50 +0000 2009","Luis V. Gutierrez",16361,"Chicago, IL and Washington, DC","I represent Illinois' 4th District.  I fight for the American dream for ALL.","Eastern Time (US & Canada)",675,"en",126,1350,-0.52,29348,"G000535","House","D","IL","M",-1.2027954888248
"220","lynnwoolsey",35758363,"lynnwoolsey",FALSE,"http://bit.ly/nCHhz","Mon Apr 27 14:45:20 +0000 2009","Woolsey for Congress",1140,"Petaluma, CA","Congresswoman Lynn Woolsey, a leading voice in the Progressive Congress represents Marin & Sonoma County, CA.  Tweets are run by the Woolsey for Congress staff.","Pacific Time (US & Canada)",136,"en",338,199,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"221","mactxpress",377534571,"MacTXPress",TRUE,"http://thornberry.house.gov/","Wed Sep 21 18:42:06 +0000 2011","Mac Thornberry",643,"United States Capitol","The latest news from the press shop of US Congressman Mac Thornberry (TX-13)","Eastern Time (US & Canada)",69,"en",165,151,0.561,29572,"T000238","House","R","TX","M",0.963577726944588
"222","maddow",16129920,"maddow",TRUE,"http://rachel.msnbc.com","Thu Sep 04 15:02:12 +0000 2008","Rachel Maddow MSNBC",2332714,"New York, NY USA","I see political people...
(Retweets do not imply endorsement.)","Eastern Time (US & Canada)",35058,"en",1043,1835,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"223","manybills",123667924,"manybills",FALSE,"http://manybills.us","Tue Mar 16 21:17:36 +0000 2010","Many Bills",431,"Cambridge, MA","I'm a a web-based visualization of US Congressional Legislation, built by the Visual Communication Lab at IBM. billvis@us.ibm.com","Eastern Time (US & Canada)",40,"en",679,46,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"224","marcorubio",15745368,"marcorubio",TRUE,"http://www.marcorubio.com","Wed Aug 06 03:07:06 +0000 2008","Marco Rubio",182165,"","Proud to represent Florida in the United States Senate. ","Eastern Time (US & Canada)",4124,"en",2796,1115,0.566,41102,"R000595","Senate","R","FL","M",1.23661855413704
"225","mariodb",37094727,"MarioDB",TRUE,"http://mariodiazbalart.house.gov","Sat May 02 00:52:48 +0000 2009","Mario Diaz-Balart",3030,"Miami, FL and Washington, DC","I am proud to represent the 21st Congressional District of Florida and serve on the Committee on Appropriations. ","Eastern Time (US & Canada)",267,"en",118,588,0.244,29336,"D000600","House","R","FL","M",0.465119897332106
"226","markamodeinv2",402719755,"MarkAmodeiNV2",TRUE,"http://amodei.house.gov","Tue Nov 01 13:43:55 +0000 2011","RepMarkAmodei",1422,"Carson City, NV","I proudly represent Nevada's 2nd District. Find me on Facebook at http://www.facebook.com/MarkAmodeiNV2
","Quito",90,"en",873,317,NA,NA,"A000369","House","R",NA,NA,NA
"227","markbegich",14354562,"MarkBegich",FALSE,"http://action.begich.com/twitter","Thu Apr 10 19:51:42 +0000 2008","MarkBegich",1799,"Anchorage, Alaska","Democratic Mayor of Anchorage","Alaska",163,"en",118,185,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"228","markeymemo",21406834,"MarkeyMemo",TRUE,"http://markey.house.gov/","Fri Feb 20 15:49:29 +0000 2009","Ed Markey",10382,"","Rep. Markey: a natl leader on energy, environment, telecommunications; voice for consumer protection; born in Malden, MA; representing 7th Dist ","Central Time (US & Canada)",868,"en",67,2083,-0.535,14435,"M000133","House","D","MA","M",-1.69057158638797
"229","markudall",8128442,"MarkUdall",TRUE,"http://markudall.senate.gov/","Sat Aug 11 19:18:18 +0000 2007","Mark Udall",16820,"Eldorado Springs, CO","Your United States Senator from Colorado","Mountain Time (US & Canada)",1299,"en",134,1905,-0.394,29906,"U000038","Senate","D","CO","M",-0.536544301486453
"230","markwarner",7429102,"MarkWarner",TRUE,"http://warner.senate.gov","Thu Jul 12 14:03:33 +0000 2007","Mark Warner",31268,"Virginia","Updates from the U.S. Senator from Virginia and Staff. Following/retweeting does not equal an endorsement. ","Eastern Time (US & Canada)",1830,"en",11236,1739,-0.237,40909,"W000805","Senate","D","VA","M",-0.608108580489305
"231","marlinstutzman",24539426,"MarlinStutzman",FALSE,NA,"Sun Mar 15 15:44:45 +0000 2009","Marlin Stutzman",2225,"Indiana","Home grown farm kid who loves baseball, golf, and cars, who has the privilege of serving in the US Congress.","Eastern Time (US & Canada)",220,"en",265,828,0.781,21100,"S001188","House","R","IN","M",1.40077052023113
"232","marshablackburn",278145569,"MarshaBlackburn",TRUE,"http://blackburn.house.gov","Wed Apr 06 18:05:33 +0000 2011","Marsha Blackburn",5918,"Brentwood, TN","I am honored to serve the people of Tennessee's 7th District. ",NA,335,"en",1663,729,0.623,20351,"B001243","House","R","TN","F",1.20626987958912
"233","marybonomack",19616327,"MaryBonoMack",TRUE,"http://www.marybonomack.com","Tue Jan 27 21:05:44 +0000 2009","Rep. Mary Bono Mack",10260,"Riverside County, CA","Congresswoman CA-45.  Mother, wife, daughter of a WWII veteran.  Believes in the entrepreneurial spirit and the greatness of America. ","Pacific Time (US & Canada)",739,"en",2342,2189,0.34,29775,"B001228","House","R","CA","F",0.760130242040986
"234","maryjokilroy",15281574,"MaryjoKilroy",FALSE,"http://www.kilroyforcongress.com","Mon Jun 30 19:30:41 +0000 2008","Mary Jo Kilroy",2809,"Columbus, Ohio","Tweets from Former Congresswoman Mary Jo Kilroy and her campaign staff.","Eastern Time (US & Canada)",282,"en",561,204,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"235","mauricehinchey",75124560,"mauricehinchey",TRUE,"http://hinchey.house.gov","Thu Sep 17 21:49:26 +0000 2009","Maurice Hinchey",3267,"New York/Washington, DC","I'm the U.S. Representative for New York's 22nd Congressional District, which spans eight counties from the Hudson Valley to the Finger Lakes region. ","Eastern Time (US & Canada)",341,"en",16,279,-0.602,29380,"H000627","House","D","NY","M",-1.36136752453674
"236","maxinewaters",36686040,"MaxineWaters",TRUE,"http://www.house.gov/waters","Thu Apr 30 15:17:45 +0000 2009","Maxine Waters",14378,"Los Angeles/Washington DC","Proudly serving the people of California's 35th District in the U.S. Congress","Pacific Time (US & Canada)",944,"en",863,701,-0.713,29106,"W000187","House","D","CA","F",-1.14659480391734
"237","maziehirono",92186819,"maziehirono",TRUE,"http://hirono.house.gov/","Tue Nov 24 03:10:37 +0000 2009","Mazie Hirono",4731,"Hawaii","Office of Congresswoman Mazie Hirono - Proudly Serving Hawaii's 2nd Congressional District","Hawaii",413,"en",1030,2538,-0.555,20713,"H001042","House","D","HI","F",-1.48178279417938
"238","mccaulpressshop",26424123,"McCaulPressShop",TRUE,"http://www.house.gov/mccaul","Wed Mar 25 03:54:11 +0000 2009","Michael McCaul",3595,"DC; Austin to Houston","News from Congressman Michael McCaul (R-TX 10) and his Press Office","Eastern Time (US & Canada)",436,"en",79,296,0.434,20530,"M001157","House","R","TX","M",0.796869148738241
"239","mcconnellpress",339822881,"McConnellPress",TRUE,"http://mcconnell.senate.gov","Thu Jul 21 18:25:30 +0000 2011","Sen. McConnell Press",5755,"","The Kentucky press office for Senator Mitch McConnell. For more information please visit his website: ","Quito",402,"en",123,1496,0.407,14921,"M000355","Senate","R","KY","M",1.00828981712849
"240","mdchhs",34392255,"MDCHHS",FALSE,"http://www.mdchhs.com","Wed Apr 22 20:46:53 +0000 2009","U of MD CHHS",445,"Baltimore, MD","The University of Maryland Center for Health & Homeland Security (CHHS) is a non-profit consulting firm that works side-by-side with top emergency responders.","Eastern Time (US & Canada)",44,"en",375,988,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"241","megwhitman",20733756,"MegWhitman",TRUE,NA,"Fri Feb 13 00:03:24 +0000 2009","Meg Whitman",242003,"California","","Pacific Time (US & Canada)",2112,"en",304,799,NA,NA,NA,"Others","R",NA,NA,NA
"242","melmartinez",19083619,"MelMartinez",FALSE,"http://martinez.senate.gov","Fri Jan 16 20:25:51 +0000 2009","US Sen Mel Martinez",6394,"Washington, DC","Mel Martinez is a United States Senator from Florida, a Republican, a Cuban American, and the former Secretary of Housing and Urban Development.","Eastern Time (US & Canada)",451,"en",1,42,0.353,40501,"M001162","Senate","R",NA,NA,NA
"243","melwattnc12",257169015,"MelWattNC12",TRUE,"http://www.watt.house.gov","Thu Feb 24 21:49:48 +0000 2011","Congressman Mel Watt",1244,"","Representing North Carolina's 12th Congressional District. For questions or concerns, please contact one of my offices. ",NA,129,"en",0,25,-0.569,29383,"W000207","House","D","NC","M",-1.19107475241282
"244","michaelburgess",39818648,"MichaelBurgess",FALSE,NA,"Wed May 13 19:50:38 +0000 2009","Michael Burgess",50,"","","London",4,"en",30,15,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"245","michaelcburgess",15751083,"michaelcburgess",TRUE,"http://burgess.house.gov","Wed Aug 06 15:25:19 +0000 2008","Michael Burgess, MD",9733,"Washington, DC","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life","Eastern Time (US & Canada)",821,"en",579,2347,0.523,20355,"B001248","House","R","TX","M",0.868093949620832
"246","michelebachmann",18217624,"MicheleBachmann",TRUE,"http://bachmann.house.gov/","Thu Dec 18 16:10:29 +0000 2008","Michele Bachmann",158361,"Washington, D.C.","Happy to be serving MN-06 for a 3rd term.","Central Time (US & Canada)",5860,"en",6386,1645,0.579,20728,"B001256","House","R","MN","F",0.930899417070183
"247","mickmulvaney",112508171,"MickMulvaney",FALSE,"http://www.mulvaneyforcongress.com","Mon Feb 08 19:14:16 +0000 2010","Mick Mulvaney",2812,"ÜT: 34.769161,-80.78298","Republican Congressman representing South Carolina's 5th District. ","Central Time (US & Canada)",183,"en",1741,532,0.819,21176,"M001182","House","R","SC","M",1.15956411738216
"248","mike_johanns",194720228,"Mike_Johanns",TRUE,"http://johanns.senate.gov","Fri Sep 24 20:55:55 +0000 2010","Senator Mike Johanns",4086,"Nebraska","U.S. Senator From Nebraska","Central Time (US & Canada)",351,"en",139,508,0.41,40905,"J000291","Senate","R","NE","M",0.688374527369976
"249","mikepompeo",56469022,"mikepompeo",FALSE,"http://www.pompeoforcongress.com","Mon Jul 13 19:34:01 +0000 2009","Michael Pompeo",1265,"ÜT: 37.694053,-97.246374","This Twitter profile and page is maintained by the Pompeo For Congress campaign.","Central Time (US & Canada)",119,"en",431,357,0.679,21136,"P000602","House","R","KS","M",1.44297402863322
"250","mittromney",50055701,"MittRomney",TRUE,"http://www.MittRomney.com","Tue Jun 23 18:24:04 +0000 2009","Mitt Romney",1620046,"Massachusetts","Former Governor of Massachusetts","Eastern Time (US & Canada)",12949,"en",274,1312,NA,NA,NA,"Others","R",NA,NA,NA
